iter	F1	Logloss
0	0.8189060011	0.692952867711	0.8235913639	0.692727972	02	0.82249742	0.692537633233	0.8211173757	0.692331164944	0.8215384615	0.692136424555	0.8211173757	0.691958593266	0.8215384615	0.69174584777	0.8202764977	0.691567231988	0.8202764977	0.691380181799	0.8206967213	0.691191282
10	0.8206967213	0.6909874288
11	0.8215384615	0.690791491
12	0.8211173757	0.6905813776
13	0.8211173757	0.6903731968
14	0.8211173757	0.6901665739
15	0.8215384615	0.6899655484
16	0.8215384615	0.689773639
17	0.8215384615	0.6895605332
18	0.8215384615	0.6893688974
19	0.8215384615	0.6891958001
20	0.8215384615	0.6889755796
21	0.8215384615	0.6887691178
4492
