iter	Logloss
0	0.6894916617
1	0.6859844682
2	0.6827357576
3	0.6794976523
4	0.6761861249
5	0.6731458524
6	0.6703084076
7	0.6673160641
8	0.6640932092
9	0.6612640538
10	0.6583469166
11	0.6553947081
12	0.6523649381
13	0.6497464428
14	0.6468226497
15	0.6439385859
16	0.6417991376
17	0.6386537225
18	0.6360735501
19	0.6335622899
20	0.630754118
21	0.6291222829
22	0.6268327295
23	0.6247575081
24	0.6228450453
25	0.6202478144
26	0.6183249358
27	0.6159011907
28	0.6136908636
29	0.6117659845
30	0.6099676168
31	0.6079765094
32	0.606491718
33	0.6048692782
34	0.6026672956
35	0.6008290456
36	0.5991094937
37	0.5977985148
38	0.5959162055
39	0.5943382028
40	0.5927908633
41	0.5911916187
42	0.5895189156
43	0.5879212485
44	0.5860586146
45	0.5841711598
46	0.5824941218
47	0.5811045433
48	0.57984034
49	0.5775011452
50	0.5761432453
51	0.5750446158
52	0.5739133333
53	0.5722601422
54	0.5706851319
55	0.5692612104
56	0.5678052788
57	0.5665957012
58	0.5656459402
59	0.5641528645
60	0.5631346398
61	0.5612289362
62	0.5601702498
63	0.5591235818
64	0.5572898826
65	0.5560053062
66	0.5552336143
67	0.553095967
68	0.5516179562
69	0.550716162
70	0.5495465815
71	0.5487410429
72	0.5476813613
73	0.5464014507
74	0.5453916085
75	0.5442647303
76	0.543308981
77	0.5420600213
78	0.5413603456
79	0.540450924
80	0.5391683851
81	0.5381484606
82	0.5363676608
83	0.534897623
84	0.5340471245
85	0.5323596078
86	0.5309410905
87	0.5299397903
88	0.5288264065
89	0.5276613013
90	0.5264542673
91	0.5245736765
92	0.5230681576
93	0.5224408949
94	0.5211730733
95	0.5202331032
96	0.5191620067
97	0.5179381587
98	0.5165711327
99	0.5149633925
100	0.5139845404
101	0.512902707
102	0.5117714053
103	0.5104803128
104	0.5093209634
105	0.5082077472
106	0.5071311656
107	0.50572577
108	0.5044240285
109	0.5037180331
110	0.5031680041
111	0.5026457439
112	0.5015426039
113	0.5008292208
114	0.500015672
115	0.498984159
116	0.4980663669
117	0.4968479642
118	0.4959613043
119	0.494832155
120	0.4941363695
121	0.4934574865
122	0.4924697571
123	0.4915375675
124	0.490683707
125	0.4893876025
126	0.4880515247
127	0.4870949952
128	0.4862729098
129	0.4845376637
130	0.4836322754
131	0.4826719238
132	0.4815848814
133	0.4801825628
134	0.4792661384
135	0.4785797225
136	0.4776270848
137	0.4765991602
138	0.4756484882
139	0.4747014391
140	0.4734153279
141	0.4726203448
142	0.4720329284
143	0.4711029373
144	0.4702934938
145	0.4697359885
146	0.4688036144
147	0.4679516131
148	0.4670159819
149	0.4661876373
150	0.4655248231
151	0.4645860993
152	0.4639213639
153	0.4632170817
154	0.462515996
155	0.4615764523
156	0.4609247555
157	0.4599721736
158	0.459217711
159	0.4586362752
160	0.4577462667
161	0.4569249706
162	0.4565003772
163	0.4559867198
164	0.454780372
165	0.4541418831
166	0.4531517218
167	0.4522140965
168	0.4511450457
169	0.4506637062
170	0.4498742553
171	0.4488511422
172	0.4478524818
173	0.4469898641
174	0.4459093771
175	0.4452966018
176	0.4446740756
177	0.4438595397
178	0.4431668227
179	0.4422390939
180	0.4416814697
181	0.4409501102
182	0.4400570458
183	0.4393170243
184	0.4384353522
185	0.4375284155
186	0.436690987
187	0.4354420618
188	0.4346645156
189	0.4337012427
190	0.4327797634
191	0.4321126448
192	0.4314680131
193	0.4305278794
194	0.4295434035
195	0.4288706766
196	0.4284297575
197	0.4273126022
198	0.4262506223
199	0.4256698497
200	0.4252359465
201	0.4242685619
202	0.4236371684
203	0.4225689984
204	0.4220383968
205	0.421531562
206	0.4205347884
207	0.4197324446
208	0.4187406104
209	0.4180267514
210	0.4173705791
211	0.416721563
212	0.4162455236
213	0.415694045
