iter	Passed	Remaining
0	87	439566
1	143	358573
2	201	335522
3	256	320538
4	310	309761
5	365	304173
6	425	303803
7	484	302439
8	545	302599
9	610	304615
10	676	306633
11	729	303268
12	798	306311
13	849	302633
14	903	300414
15	961	299603
16	1028	301461
17	1100	304609
18	1173	307601
19	1251	311581
20	1325	314211
21	1406	318362
22	1454	314741
23	1509	312980
24	1565	311573
25	1621	310250
26	1679	309346
27	1735	308172
28	1790	306945
29	1852	306973
30	1908	305964
31	1965	305139
32	2024	304729
33	2081	303968
34	2140	303674
35	2200	303415
36	2258	302959
37	2329	304229
38	2387	303717
39	2442	302859
40	2499	302356
41	2563	302564
42	2620	302116
43	2681	302034
44	2737	301390
45	2804	301991
46	2871	302642
47	2926	301960
48	2984	301570
49	3046	301585
50	3122	302964
51	3193	303912
52	3248	303195
53	3302	302506
54	3355	301694
55	3409	301005
56	3465	300519
57	3524	300325
58	3582	300051
59	3638	299552
60	3694	299168
61	3751	298806
62	3820	299355
63	3886	299741
64	3943	299378
65	4000	299086
66	4058	298847
67	4116	298555
68	4172	298203
69	4228	297828
70	4285	297526
71	4342	297224
72	4398	296889
73	4468	297475
74	4532	297608
75	4588	297264
76	4657	297803
77	4719	297834
78	4769	297094
79	4821	296546
80	4877	296188
81	4936	296044
82	4993	295797
83	5050	295595
84	5109	295451
85	5167	295276
86	5225	295091
87	5282	294832
88	5340	294687
89	5396	294424
90	5456	294357
91	5522	294610
92	5592	295088
93	5649	294871
94	5707	294669
95	5764	294458
96	5822	294289
97	5877	294018
98	5933	293755
99	5991	293565
100	6047	293352
101	6103	293103
102	6161	292958
103	6221	292873
104	6280	292794
105	6337	292596
106	6397	292567
107	6454	292382
108	6513	292279
109	6575	292296
110	6633	292177
111	6690	291974
112	6746	291791
113	6804	291646
114	6862	291489
115	6919	291315
116	6977	291196
117	7032	290969
118	7091	290888
119	7143	290518
120	7208	290680
121	7268	290606
122	7325	290477
123	7382	290295
124	7440	290183
125	7502	290234
126	7561	290120
127	7618	289981
128	7675	289823
129	7733	289690
130	7789	289519
131	7846	289382
132	7903	289223
133	7969	289402
134	8032	289457
135	8091	289407
136	8146	289171
137	8207	289154
138	8264	289019
139	8320	288835
140	8376	288651
141	8430	288401
142	8483	288148
143	8547	288254
144	8608	288249
145	8664	288073
146	8723	287995
147	8782	287932
148	8839	287786
149	8895	287616
150	8955	287576
151	9012	287435
152	9068	287303
153	9124	287126
154	9182	287013
155	9243	287008
156	9303	286978
157	9361	286877
158	9423	286907
159	9520	287991
160	9588	288184
161	9642	287950
162	9697	287771
163	9755	287660
164	9833	288146
165	9884	287842
166	9937	287593
167	9987	287264
168	10042	287085
169	10100	286969
170	10158	286869
171	10214	286730
172	10270	286573
173	10331	286554
174	10393	286567
175	10451	286453
176	10514	286496
177	10572	286420
178	10638	286539
179	10698	286477
180	10757	286405
181	10820	286437
182	10880	286406
183	10938	286312
184	11006	286474
185	11082	286834
186	11139	286711
187	11193	286508
188	11245	286250
189	11306	286227
190	11365	286168
191	11424	286093
192	11485	286077
193	11550	286148
194	11613	286173
195	11679	286260
196	11746	286377
197	11809	286412
198	11872	286437
199	11931	286362
200	11994	286365
201	12065	286578
202	12126	286565
203	12184	286457
204	12240	286304
205	12296	286165
206	12356	286111
207	12413	285988
208	12507	286713
209	12579	286942
210	12640	286903
211	12694	286700
212	12752	286607
213	12822	286769
