iter	Passed	Remaining
0	36	181821
1	65	162588
2	87	145175
3	108	135777
4	130	130740
5	152	127130
6	174	124817
7	199	124386
8	219	121984
9	241	120662
10	263	119408
11	285	118549
12	307	117986
13	329	117466
14	350	116349
15	371	115718
16	394	115628
17	415	115093
18	437	114585
19	458	114171
20	479	113655
21	500	113262
22	524	113586
23	550	114033
24	575	114545
25	602	115253
26	630	116137
27	655	116339
28	676	115956
29	698	115673
30	728	116713
31	754	117158
32	779	117350
33	804	117501
34	825	117108
35	850	117221
36	871	116946
37	892	116482
38	911	115969
39	935	116057
40	956	115718
41	979	115578
42	1010	116502
43	1035	116637
44	1054	116142
45	1076	115944
46	1098	115768
47	1116	115231
48	1136	114833
49	1154	114342
50	1174	113993
51	1195	113790
52	1216	113503
53	1236	113287
54	1257	113027
55	1275	112590
56	1295	112308
57	1314	111962
58	1331	111474
59	1349	111069
60	1373	111188
61	1396	111221
62	1419	111244
63	1443	111302
64	1465	111229
65	1488	111296
66	1511	111300
67	1532	111153
68	1554	111090
69	1575	110979
70	1597	110869
71	1622	111024
72	1644	110974
73	1666	110907
74	1687	110799
75	1708	110663
76	1730	110666
77	1752	110571
78	1774	110557
79	1794	110391
80	1821	110610
81	1842	110504
82	1864	110432
83	1887	110440
84	1909	110402
85	1930	110301
86	1954	110386
87	1976	110317
88	1997	110225
89	2061	112459
90	2084	112451
91	2105	112310
92	2126	112196
93	2153	112408
94	2183	112741
95	2208	112840
96	2235	112974
97	2265	113318
98	2302	113996
99	2373	116309
100	2396	116219
101	2416	116020
102	2450	116499
103	2484	116951
104	2516	117321
105	2535	117062
106	2555	116878
107	2576	116711
108	2597	116561
109	2616	116322
110	2636	116141
111	2656	115921
112	2675	115703
113	2697	115604
114	2718	115497
115	2741	115418
116	2762	115276
117	2783	115173
118	2804	115042
119	2833	115225
120	2857	115229
121	2882	115233
122	2905	115197
123	2935	115449
124	2962	115551
125	2989	115656
126	3012	115574
127	3034	115502
128	3053	115295
129	3071	115063
130	3091	114900
131	3113	114829
132	3134	114719
133	3161	114788
134	3186	114836
135	3209	114791
136	3234	114796
137	3259	114842
138	3286	114942
139	3309	114872
140	3330	114777
141	3351	114661
142	3378	114737
143	3401	114705
144	3422	114603
145	3443	114498
146	3465	114415
147	3487	114322
148	3508	114217
149	3530	114149
150	3552	114081
151	3573	113988
152	3599	114040
153	3621	113952
154	3643	113877
155	3664	113793
156	3686	113725
157	3707	113629
158	3728	113527
159	3750	113444
160	3773	113424
161	3797	113406
162	3823	113462
163	3843	113322
164	3869	113381
165	3888	113233
166	3911	113188
167	3938	113290
168	3960	113202
169	3981	113109
170	4001	113014
171	4023	112926
172	4044	112851
173	4065	112765
174	4087	112686
175	4108	112621
176	4131	112571
177	4152	112503
178	4174	112420
179	4195	112356
180	4219	112328
181	4241	112273
182	4265	112267
183	4287	112231
184	4312	112244
185	4337	112249
186	4358	112187
187	4380	112127
188	4402	112063
189	4424	112000
190	4445	111931
191	4467	111863
192	4488	111794
193	4511	111756
194	4534	111728
195	4556	111686
196	4578	111616
197	4598	111536
198	4619	111456
199	4641	111398
200	4662	111328
201	4684	111277
202	4706	111207
203	4727	111136
204	4749	111081
205	4770	111021
206	4792	110965
207	4814	110908
208	4834	110832
209	4857	110787
210	4878	110723
211	4900	110667
212	4921	110602
213	4942	110528
214	4963	110459
215	4984	110393
216	5005	110318
217	5025	110244
218	5047	110186
219	5067	110107
220	5088	110043
221	5110	109986
222	5131	109925
223	5152	109865
224	5173	109796
225	5195	109748
